IP,Hostname,Anti-clickjacking,X-XSS-Protection,No CGI Directories found,valid response with junk HTTP,Allowed HTTP Methods,which may suggest a WAF,shellshock,OSVDB-637,OSVDB-578
204.11.56.48,www.mightyhighcoup.com,1,1,1,0,0,0,0,0,0
168.195.218.184,timeless-uptime.sr,1,1,0,0,0,0,0,0,0
192.185.30.211,seniorshare.net,1,1,1,0,0,0,0,0,0
35.186.238.101,zoneplushostel.com,1,1,1,0,0,0,0,0,0
35.186.238.101,zoneplushostel.com,1,1,1,0,0,0,0,0,0
91.217.242.35,srodkidlagastronomii.pl,1,1,0,0,0,0,0,0,0
145.14.145.115,babbba.000webhostapp.com,1,0,1,0,0,0,0,0,0
91.217.242.35,srodkidlagastronomii.pl,1,1,0,0,0,0,0,0,0
91.217.242.35,srodkidlagastronomii.pl,1,1,0,0,0,0,0,0,0
104.217.76.58,phatduckmusic.com,1,1,0,0,0,0,0,0,0
208.67.20.63,overstockmiami.com,1,1,1,0,0,0,0,0,0
217.160.0.254,metallbaulang.de,1,1,1,0,0,1,0,0,0
176.223.96.200,sofercusucces.ro,1,1,1,0,0,0,0,0,0
103.4.206.86,mockup.metradigitalmedia.com,1,1,1,1,1,0,0,0,0
201.163.98.162,201.163.98.162,1,1,0,1,1,0,0,0,0
201.163.98.162,201.163.98.162,1,1,0,1,1,0,0,0,0
201.163.98.162,201.163.98.162,1,1,0,1,1,0,0,0,0
201.163.98.162,201.163.98.162,1,1,0,1,1,0,0,0,0
201.163.98.162,201.163.98.162,1,1,0,1,1,0,0,0,0
201.163.98.162,201.163.98.162,1,1,0,1,1,0,0,0,0
50.87.48.181,www.metrodevcon.com,1,1,1,0,0,1,0,0,0
204.11.56.48,inmoresorts.com,1,1,1,0,0,0,0,0,0
87.236.19.141,stolizaparketa.ru,1,1,1,1,0,0,0,0,0
192.185.30.211,seniorshare.net,1,1,1,0,0,0,0,0,0
35.186.238.101,zoneplushostel.com,1,1,1,0,0,0,0,0,0
192.185.154.161,kensonsitepcrepair.com,1,1,1,0,0,0,0,0,0
143.95.226.60,glamoursmoking.com,1,1,0,0,0,0,0,0,0
45.67.219.87,huetransfer.com,1,1,1,0,1,0,0,0,0
199.116.250.170,innovativemobilephonemarketing.com,1,1,1,0,1,0,0,0,0
204.11.56.48,321badwood.com,1,1,1,0,0,0,0,0,0
50.87.202.107,ugaflix.com,1,1,1,0,0,0,0,0,0
50.87.48.181,www.metrodevcon.com,1,1,1,0,0,0,0,0,0
192.185.30.211,seniorshare.net,1,1,1,0,0,0,0,0,0
192.185.30.211,seniorshare.net,1,1,1,0,0,0,0,0,0
192.185.30.211,seniorshare.net,1,1,1,0,0,0,0,0,0
104.31.69.145,psaa.am,0,1,0,0,0,0,0,0,0
104.31.69.145,psaa.am,0,1,0,0,0,0,0,0,0
204.11.56.48,bodyarmorboutique.com,1,1,1,0,0,0,0,0,0
91.217.242.35,srodkidlagastronomii.pl,1,1,0,0,0,0,0,0,0
192.185.30.211,seniorshare.net,1,1,1,0,0,0,0,0,0
192.185.30.211,seniorshare.net,1,1,1,0,0,0,0,0,0
192.185.169.239,everestmotors.com.np,1,1,1,0,0,0,0,0,0
89.46.107.244,www.eskaton.it,1,1,1,1,1,0,0,0,0
119.207.79.151,leesangku.com,1,1,1,0,0,0,0,0,0
47.52.157.224,triangletire.com,1,1,1,0,0,0,0,0,0
198.54.125.196,viralmagnews.com,1,1,0,0,0,0,0,0,0
192.124.249.5,flexstoneontario.com,0,0,0,0,0,0,0,0,0
